Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
CG3104,2.21690666666667,3.31007333333333,1.90647033333333,7.80544666666667,0.669745583759801,-0.578314931785502,0.244248813745169,-2.03357653948231,Larvae_CO,0.00802388330345505,0.807500142235325,1,Ambiguous
CG31055,12.8867133333333,11.5067033333333,4.31250666666667,7.33986666666667,1.11993095155859,0.163409786823228,0.587545697349766,-0.767227030825013,Larvae_CO,0.711014366940886,0.782544614237598,1,Conserved
CG3106,3.20587,25.4288333333333,0.63601,3.03805333333333,0.12607227519657,-2.98767705026138,0.209348132132375,-2.2560240489151,Larvae_CO,0.72907238633502,0.942134867476026,1,Conserved
CG3107,38.4265666666667,41.7921333333333,3.07567666666667,4.90785966666667,0.919468897189529,-0.121127321369621,0.62668398219944,-0.674189976018017,Larvae_CO,0.671335233728172,1,1,Conserved
CG31075,1311.10666666667,980.036333333333,1471.13433333333,2362.23,1.33781434599416,0.419877921138225,0.622773537593951,-0.683220451037307,Larvae_CO,2.24889593675026e-05,3.71179837604254e-06,0.658116558152615,Only_Cis
CG31087,3.35476666666667,25.4420866666667,2.333087,24.8770666666667,0.131858977557961,-2.9229322951113,0.0937846868152453,-3.41450381137546,Larvae_CO,0.0468043249913197,0.82788883192426,1,Ambiguous
CG31093,13.3488666666667,27.4008,0.81143,11.6223333333333,0.487170709595923,-1.03750069889888,0.0698165253836127,-3.84028763088703,Larvae_CO,5.16962345522561e-07,1,0.178523973592362,Ambiguous
CG31098,7.65375,11.8012,6.25436333333333,11.3534466666667,0.648556956194543,-0.624694817540362,0.550877981469535,-0.860195295189194,Larvae_CO,0.0599183278610165,0.966708592411331,1,Conserved
CG31099,3.17187333333333,1.55934433333333,0.950526666666667,5.6856,2.03410640704774,1.02439515063336,0.167181563860473,-2.58051233355447,Larvae_CO,0.111859200154232,1,1,Conserved
CG31102,16.4813333333333,18.8649666666667,6.98714666666667,15.7152333333333,0.873647632190482,-0.194876579229812,0.44460983008356,-1.16938824896055,Larvae_CO,3.6667883499803e-07,0.886641645309342,1,Ambiguous
CG31103,9.12964666666667,51.2634333333333,10.17542,43.2312,0.178092782611918,-2.48929904392217,0.235372156327556,-2.0869844300082,Larvae_CO,0.0287326257367059,0.0254774331792159,1,Only_Cis
CG31108,11.17021,8.42215333333333,3.99137066666667,5.94322333333333,1.32628904172301,0.407395220109807,0.671583545026316,-0.574361212735943,Larvae_CO,1,0.00245722933047544,0.00569668703720588,Compensating
CG31109,11.4978,30.0870666666667,21.931,74.52,0.382150933663049,-1.38778553976719,0.294296842534932,-1.76465603097681,Larvae_CO,0.126520589073646,0.000619559951553798,0.127468436271878,Ambiguous
CG31111,5.33950333333333,13.9855,0.457633333333333,1.37387,0.381788563265151,-1.38915420840475,0.33309847382566,-1.58597935092972,Larvae_CO,0.588597760431674,1,1,Conserved
CG31122,5.17062666666667,6.82833333333333,1.60148666666667,1.95249666666667,0.757231180293213,-0.401194277178762,0.820225137272891,-0.285908136563337,Larvae_CO,0.00700040119820087,1,0.938340529765803,Ambiguous
