Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
capt,64.1796666666667,89.3431666666667,18.8942,44.0179333333333,0.718350035518291,-0.477241087259291,0.429238702046317,-1.22014793320802,Larvae_OO,0.0138520875214383,2.26255351371077e-05,0.00275699574387563,Compensating
capu,13.9684866666667,9.99849666666667,7.33184,6.91717333333333,1.39705865144474,0.482392589374616,1.05994740723368,0.0839926825191045,Larvae_OO,0.139987220939052,0.356890226603958,0.15397929086745,Conserved
cas,1.14764333333333,1.61139666666667,0.417941666666667,1.318478,0.712204291388449,-0.489636966198207,0.316988489514559,-1.6574976407112,Larvae_OO,1,1,1,Conserved
casp,20.6998666666667,46.5375,9.93618666666667,20.0412666666667,0.444799725422873,-1.16877219740864,0.495786385967634,-1.01220943856285,Larvae_OO,0.746875233911407,0.124644681260707,0.578364781000217,Conserved
Cat,293.535,508.468666666667,208.798,142.8806,0.57729221024968,-0.792626336560508,1.46134604375019,0.547297845827028,Larvae_OO,2.93928047539523e-09,0.350089680425781,0.462623478221794,Ambiguous
cathD,1015.19066666667,3362.17,568.298,2215.38666666667,0.301945073379609,-1.7276419611313,0.256523165591925,-1.96283897909211,Larvae_OO,1.73953055534954e-07,9.72927093889027e-07,0.00283208253485756,Compensating
Catsup,63.4133,159.309333333333,33.4327,65.3320333333333,0.398051383902692,-1.3289734165892,0.511735189959364,-0.966530649825015,Larvae_OO,1.49743984533108e-06,5.28336803255651e-05,0.00366684094256129,Enhancing
caz,52.1069333333333,59.9794,4.48148,116.700133333333,0.868747160935024,-0.202991736882306,0.0384016781608789,-4.70268683139401,Larvae_OO,0.795810584500336,0.851075517874106,1,Conserved
cbs,7.95440333333333,15.0303666666667,2.15799666666667,7.51085666666667,0.529222205985957,-0.918054497001519,0.28731707648301,-1.79928435393052,Larvae_OO,0.00165194969741835,0.003417636461719,0.095233199435033,Only_Cis
cbt,19.94554,23.0490666666667,5.8155,13.9435666666667,0.865351314354682,-0.208642139501808,0.417074104635535,-1.26162435416262,Larvae_OO,0.692835659681132,0.00610208484847263,0.0806701680570538,Ambiguous
Ccs,24.2748666666667,45.3083,26.4899,48.4368666666667,0.535770866064183,-0.900311961873341,0.546895418223541,-0.870663119338554,Larvae_OO,0.000271312948286848,7.94705868554729e-05,0.00577179926874444,Enhancing
Cct1,28.1469666666667,29.0692333333333,3.57427666666667,7.69582666666667,0.968273444835486,-0.0465135661902599,0.464443568837712,-1.10642477901944,Larvae_OO,0.778442084433555,0.829635271035548,1,Conserved
Cct2,10.3304333333333,18.0978666666667,3.72715,6.07265666666667,0.570809474552647,-0.808918813373132,0.613759445136954,-0.704254773672017,Larvae_OO,0.00363306144485293,1,0.527913724502847,Ambiguous
Cctgamma,59.3689666666667,140.964666666667,10.62462,18.1688,0.421162044712183,-1.24755266890559,0.584772820176741,-0.77405183747439,Larvae_OO,0.658072093599103,9.42918619484275e-05,0.00152742791222956,Compensating
Ccz1,11.60198,22.7247666666667,4.07054666666667,7.87926,0.510543437459126,-0.969894382871624,0.516615411859903,-0.952837411783378,Larvae_OO,0.00017601443433496,1,1,Ambiguous
CD98hc,73.1104666666667,185.112666666667,166.263333333333,155.880666666667,0.394951186151761,-1.34025373994847,1.06660650625945,0.0930280335457055,Larvae_OO,0.463753290580513,0.000622160282291115,0.0454233924012626,Compensating
Cda9,31.9886,53.7843333333333,9.08112333333333,14.8644666666667,0.594756845027545,-0.749628124234487,0.610928324981164,-0.710924964041098,Larvae_OO,0.201922804570609,0.636493886579073,0.539522796806047,Conserved
CDase,3.68572333333333,5.34141,3.713043,3.34836666666667,0.690028221631575,-0.535272726655545,1.10891167566923,0.14914446004558,Larvae_OO,0.0303576965326171,0.905236380580938,1,Ambiguous
cdc14,13.9549933333333,17.3123,4.13848666666667,3.10722333333333,0.806073920118032,-0.311015949313135,1.33189213996243,0.413477253999298,Larvae_OO,0.277324379841713,0.00315184708243962,0.0636926433303392,Ambiguous
Cdc27,7.96776666666667,23.0658,2.93277,2.21332666666667,0.345436417606597,-1.53350790799373,1.32505053100287,0.406047378118996,Larvae_OO,0.0400945382239761,1,1,Ambiguous
Cdc2rk,8.88759,17.6824,8.98796,21.2700333333333,0.502623540773676,-0.992449852315617,0.422564480110618,-1.24275659245585,Larvae_OO,3.67618187954641e-05,0.154595324442653,1,Ambiguous
Cdc37,28.0718333333333,77.9789,10.6370133333333,14.6491,0.359992689988454,-1.47396048340041,0.726120622237046,-0.461718868087377,Larvae_OO,0.00116160314577381,0.0403797196704814,0.436822461014785,Only_Cis
Cdc5,5.27654,6.51273,2.68663,2.51837666666667,0.810188690428025,-0.303670148566152,1.06681020704731,0.0933035335130033,Larvae_OO,0.500789676191029,1,1,Conserved
CdGAPr,5.28465666666667,7.04989,0.684550666666667,2.044077,0.749608421841794,-0.415790933137411,0.334895080650869,-1.57821891075889,Larvae_OO,0.749725522029387,0.42915338070351,0.979902465098539,Conserved
cDIP,15.6926966666667,5.54459666666667,6.03651,16.65515,2.83026805732162,1.5009386985181,0.3624410850433,-1.46418159141106,Larvae_OO,0.00291666733321141,0.03926292042409,1,Only_Cis
Cdk1,38.3008666666667,81.9301333333333,9.79151666666667,22.8987666666667,0.46748205624611,-1.09701710499206,0.427600201425687,-1.22566556223174,Larvae_OO,0.807121034792047,0.930816888718476,1,Conserved
CDK2AP1,8.12131666666667,20.9396333333333,8.05013666666667,147.070566666667,0.387844292664582,-1.36645052311209,0.0547365648639651,-4.19135129232483,Larvae_OO,0.133305401352407,0.185354262307604,0.412563887544259,Conserved
