Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
Egm,9.23766333333333,19.5762,3.28749,7.96406,0.471882380720004,-1.08350079016917,0.41279078600729,-1.27651732647587,Larvae_CC,0.00955916383432961,0.0129630717085985,0.0989729306144238,Only_Cis
egr,23.8116,21.1259,5.19428333333333,12.85805,1.12712830567558,0.172651752800095,0.403971358748953,-1.30767508422617,Larvae_CC,0.000354171418230716,1,1,Ambiguous
Ehbp1,18.7556666666667,15.9881333333333,4.50528,8.79906333333333,1.17309920442458,0.230325021618411,0.512018190722021,-0.965733028415488,Larvae_CC,0.00367313325839767,0.253929656823026,1,Ambiguous
eIF-1A,330.681333333333,806.406666666667,121.883433333333,208.156333333333,0.410067708505137,-1.28606595427937,0.585537955036016,-0.772165404489675,Larvae_CC,1.889131324685e-12,1.14676628889649e-05,0.286022061730418,Only_Cis
eIF-2alpha,127.319,231.773,120.567666666667,40.2013333333333,0.549326282399907,-0.864264775940264,2.99909616598713,1.5845277829497,Larvae_CC,3.19789921070317e-05,0.00176954921422428,0.0628335621838446,Only_Cis
eIF-4a,1394.58666666667,2662.68666666667,203.633333333333,389.471,0.523751699590232,-0.933045074478389,0.52284594696521,-0.935542166175319,Larvae_CC,7.272517658066e-09,6.84832674186758e-08,8.63303496966418e-06,Compensating
eIF-5A,2399.20333333333,3330.57333333333,1158.745,5634.48333333333,0.720357456057508,-0.47321511595757,0.205652396545264,-2.2817202106794,Larvae_CC,1.56016760346022e-05,3.19261495241044e-11,8.56462400442047e-11,Compensating
eIF2B-alpha,22.5709333333333,51.3690333333333,28.2631666666667,77.2353333333333,0.439387943072293,-1.18643281253733,0.365935719844082,-1.45033784748936,Larvae_CC,0.00844674381481626,4.14662123143048e-05,0.00145434675679114,Compensating
eIF2B-beta,27.1169666666667,46.0124666666667,48.5026333333333,18.6932333333333,0.589339564726526,-0.762828971547477,2.5946625109623,1.37554689872769,Larvae_CC,0.197602930639402,0.377848858061942,0.90548890232489,Conserved
eIF2B-delta,12.7062333333333,21.8273,2.70397,0.931709666666667,0.582125766870276,-0.780597217289103,2.90215739364009,1.53712576367292,Larvae_CC,0.123818921695938,1,1,Conserved
eIF4E-7,6.03668666666667,5.65796666666667,8.18933333333333,1.85922333333333,1.06693569534361,0.0934732269547217,4.40470479355817,2.13904533193998,Larvae_CC,0.340574380126022,1,1,Conserved
eIF5,78.4713333333333,94.9857333333333,58.3316333333333,5.92619,0.826138102569739,-0.275545122881314,9.8430230030273,3.29910146614252,Larvae_CC,0.0125967909472377,1,1,Ambiguous
eIF5B,20.1734333333333,14.9435,8.77417666666667,7.12826333333333,1.34998045861765,0.432938523972809,1.23089959299583,0.299713083028739,Larvae_CC,0.843973103939232,0.372959758003065,1,Conserved
Eip55E,378.932,356.681,238.970333333333,372.376666666667,1.06238347413408,0.0873046101839134,0.641743576016014,-0.639931145685775,Larvae_CC,1,7.46211484470001e-07,1.14853103653736e-05,Compensating
Eip63E,24.9947,25.6830666666667,8.40230666666667,4.72322,0.973197646184607,-0.0391952639676793,1.77893595634561,0.831014572928997,Larvae_CC,1,1,1,Conserved
Eip63F-1,35.7431,95.8593666666667,42.5013333333333,3.76371666666667,0.372870193806098,-1.42325461814798,11.2923811235221,3.49727782128995,Larvae_CC,7.16372243470984e-07,0.00158286405639191,0.000125966180661671,Compensating
