Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
CG7943,28.6166333333333,66.1269666666667,10.6864733333333,106.9621,0.432752859281017,-1.20838474310154,0.0999089792872836,-3.32324184417863,Adult_CO,1.45023843931112e-05,0.935043397946961,1,Ambiguous
CG7946,19.6912666666667,33.4481333333333,3.80508666666667,15.8130466666667,0.588710493399418,-0.764369751863197,0.240629620986197,-2.05511384880085,Adult_CO,0.203656849736685,0.843437818340544,1,Conserved
CG7950,53.1936333333333,154.007,4.79079,8.44536666666667,0.34539750782715,-1.53367042156999,0.567268494290539,-0.81789635496278,Adult_CO,3.66376100963972e-07,0.372959758003065,0.351392031968413,Ambiguous
CG7953,526.935666666667,1075.344,149.626333333333,1152.19533333333,0.490015908561958,-1.02909950722915,0.129861951246234,-2.9449493029715,Adult_CO,0.553911137041099,1.63882576258628e-09,0.00463479357701504,Compensating
CG7956,8.65370333333333,12.491,3.30234666666667,13.6334333333333,0.692795103717735,-0.52949936093575,0.242224195747401,-2.04558511201327,Adult_CO,0.139970768067032,0.00489955873954108,0.116017110727026,Ambiguous
CG7968,60.6005,161.676333333333,180.742,866.511,0.374826045196312,-1.41570689116975,0.20858592769326,-2.26128626556264,Adult_CO,0.918513052981935,1,1,Conserved
CG7970,73.9452,126.484,19.6003333333333,92.4789,0.584620983012705,-0.774426484106194,0.211943850125699,-2.23824598988562,Adult_CO,0.0271794535598593,1,1,Ambiguous
CG7971,16.0066333333333,18.1708666666667,9.39457333333333,24.0043,0.8808954325663,-0.18295732190694,0.391370460374303,-1.35339322568749,Adult_CO,0.889477085791053,1,1,Conserved
CG7974,6.81225333333333,18.7896,3.56348,23.5218133333333,0.362554496677888,-1.46373022754552,0.151496859447194,-2.72264020816551,Adult_CO,0.0894078829429325,0.000846623789892566,0.0376960273176255,Compensating
CG7985,3.53540666666667,9.81846333333333,1.34679733333333,3.87546666666667,0.360077456783551,-1.47362081472777,0.347518918791994,-1.52483657516794,Adult_CO,1.5097647614182e-05,1,1,Ambiguous
CG7988,5.40084333333333,10.3255233333333,5.71890333333333,49.4825333333333,0.523057634554991,-0.934958172305213,0.115574200278599,-3.11310871507873,Adult_CO,0.00862050260738842,1,1,Ambiguous
CG7997,26.7626333333333,65.0864666666667,5.99764666666667,57.5236,0.411185846962771,-1.28213748713578,0.104264120507106,-3.26168531355747,Adult_CO,0.0177301762704765,0.0933040666742585,1,Ambiguous
CG8001,9.47363666666667,15.8540333333333,5.56478666666667,18.3437266666667,0.5975537498836,-0.742859605722269,0.303361877574029,-1.72088829635093,Adult_CO,0.28439724196113,0.198628279627655,1,Conserved
CG8004,44.5385333333333,134.601333333333,31.8077333333333,41.6138333333333,0.330892220006051,-1.59556672372842,0.76435480755146,-0.387685613339128,Adult_CO,2.08716872717866e-09,1,1,Ambiguous
CG8008,5.27270333333333,41.4192,2.82194666666667,18.274,0.127300966847075,-2.97368471838035,0.154424182567718,-2.69502940096871,Adult_CO,1.16486023670411e-05,1,1,Ambiguous
CG8026,84.174,135.266333333333,26.3293333333333,146.547666666667,0.622283448537699,-0.684356220878275,0.179663960215466,-2.47662705517138,Adult_CO,0.917986876612707,0.00867524837414283,0.0512751530874194,Ambiguous
CG8027,7.39640666666667,13.48203,1.62036133333333,14.7029,0.548612272636568,-0.86614119877869,0.110206981148369,-3.18171247942543,Adult_CO,1,0.871111297978727,1,Conserved
CG8060,3.35881333333333,6.36635666666667,0.278333666666667,9.82034333333333,0.527588066708787,-0.922516161637469,0.028342658589059,-5.14088109794943,Adult_CO,0.383170720352157,0.408129088049238,0.771336879008467,Conserved
CG8064,12.7674666666667,16.3078666666667,7.27623,47.1155333333333,0.782902334482601,-0.353095749498564,0.154433799869955,-2.69493955492272,Adult_CO,1,0.0251295160400012,0.0771270875745724,Ambiguous
CG8067,21.2699666666667,36.8995,23.2481666666667,191.231333333333,0.576429683064459,-0.794783466336396,0.12157091173219,-3.04013001840733,Adult_CO,0.395138751244476,4.19926579391226e-07,9.54310476883097e-05,Compensating
CG8080,21.4398,46.2654666666667,3.79653,59.0304666666667,0.463408284435152,-1.10964425912943,0.0643147708305185,-3.95870607808936,Adult_CO,0.0133352672025463,0.208260111150336,0.428806454596843,Ambiguous
CG8083,23.8997333333333,15.1870666666667,5.17942666666667,21.86255,1.57368985625775,0.65415124165406,0.236908660232132,-2.07759715740847,Adult_CO,0.000137540199823677,0.558492989654185,0.0162250245864195,Only_Trans
