gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG15537,1,1,1,1,1,1,1,1,0.0836337401862293,1,1,1,1,0.443183211203864,1,1
CG15539,7.81997594643905e-06,0.681526317339916,1,0.716359649797338,1,0.329957277873408,0.938029969403916,1,0.303932653422227,0.943155138515922,1,0.705384051791137,0.261966092866319,0.680549798873308,1,0.638328256512944
CG15543,1.76864949059189e-08,1,1,1,5.95571459684958e-07,0.945722146586456,1,0.850688505997026,1,1,1,1,1,1,1,1
CG15545,0.651637974311472,1,1,0.000385289619724152,1,1,0.711379409613411,0.194901558806101,1,1,0.00416440015679239,0.168842811429712,1,0.838803300513366,0.608235304138138,0.820424922358468
CG15546,4.2491976396708e-11,1,1,0.285154429177526,0.161102540314294,1,1,1,1,0.807810174843356,0.808942935315661,1,1,1,0.68994951911595,0.606636896220197
CG15547,2.50063090371107e-34,1,1,1.19395637289636e-31,1,1,0.109651234523731,0.200512931722045,1,1,0.0284279043912364,0.343103035647132,1,0.5682678690658,0.53622174947383,1
CG15548,1.41047451390398e-24,1,1,1,5.13947393379691e-21,1,1,1,1,1,0.192835747081206,1,1,1,1,1
CG15549,9.13908700860536e-05,0.187850127775167,0.559200998669512,1,0.001528980127422,1,0.0588326361456148,1,0.575306370043305,0.82791755238866,1,0.725515495474801,1,0.360946969575566,1,1
CG15550,0.44173465114082,0.940357105636334,0.954739598231283,0.819557345923327,0.686774763723517,1,0.587379266185842,0.603064621739423,1,1,1,0.450390738345689,1,1,0.950003632708073,0.820091600074458
CG15553,1.14193761960348e-08,1,1,0.20619041002206,0.496710040697902,1,1,1,1,0.937989440287479,0.000576709716896843,1,0.928222233591997,1,1,1
CG15554,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG15556,0.0846175964979336,1,1,0.000923183142388076,1.20515636805083e-05,1,1,0.938390146253446,0.377082651732774,0.436227459207609,0.846591298910186,0.92836407079477,1,0.969198274965443,1,1
CG15561,2.2105965191609e-14,1,0.912140913860637,0.849696126589742,3.37274459435108e-05,1,1,0.569011501604761,1,1,1,1,1,1,1,1
CG15563,1,1,1,0.000365343268938117,1,1,0.614559111459812,1,1,1,1,1,1,0.912096554003876,1,1
CG15564,0.553248357026202,0.0345396755071416,0.292604227479157,0.321255411943167,0.0345396755071416,0.0672301266109872,0.209240557056281,0.699807214815303,0.232191148119468,0.669654271638099,0.697191993493334,0.308523591039108,0.329957277873408,0.924599127913547,0.947532604437888,0.922185858926385
CG15570,0.0483058002257032,1,1,0.91195266646245,3.1758167981819e-05,1,1,1,1,0.741090912986321,0.695864209724637,1,1,1,1,1
CG15571,0.0316788403701055,1,1,0.972219555789885,1.77911414558425e-06,1,0.171110379999935,1,1,1,1,0.682785570549273,1,0.523926377416501,1,0.688013437304799
CG15572,0.00124799706220148,0.584274028549139,0.437376694152381,7.84471695740984e-05,0.000973785521831474,0.692219201767864,0.885027826876333,0.789831457720866,0.898570581244044,0.890017489180509,0.00920020337934829,0.943155138515922,1,1,1,1
CG15578,1.31491934812535e-12,0.104923700523615,1,1,8.19799444797085e-12,0.411804135860638,0.411804135860638,1,0.440231902621981,1,0.980844292909004,0.771103851730733,0.808718129783877,0.885384528456875,1,1
CG15579,0.970278727256734,0.107278295199383,0.117733893183461,0.00217662746125387,0.738546855293524,0.0758573220952128,0.41632611911503,0.43648822081541,0.330409550437729,0.431775794871417,0.0281300679562441,0.350794990011465,0.330479501597454,0.697047068926903,0.755892048503392,0.598852309715549
CG15580,3.42351996272542e-11,1,1,1,8.2867754762491e-09,1,0.768046102760504,1,1,1,0.969321391535483,0.950483830566753,1,1,1,1
CG15594,0.0018342719848989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG15605,4.55205300741821e-25,1,1,1,1.14867800140148e-23,1,1,1,1,1,0.661423312955696,1,1,1,1,1
CG1561,4.89714822015867e-18,1,1,0.976667654432171,8.45941072862503e-14,1,1,1,1,1,0.168929298889909,1,1,0.631272771451295,0.454467981805237,1
CG15611,1.42787943605126e-26,1,1,3.09565380477424e-11,0.00270982888310278,1,0.749038404264426,1,1,0.938469310286653,0.0307094290478411,1,1,1,1,1
CG15614,0.459090370853227,0.96991071771709,1,1,1,1,1,0.808230312186418,1,0.942371207889539,0.99798509942028,1,1,1,0.394836991809678,0.556634969254597
CG15615,1,1,0.613267679188424,1,0.573590613940985,0.857862369390331,1,0.94211212951179,0.771327256039339,0.327909381832552,0.506091814861267,1,0.817595649530685,0.312652099004685,0.54386193642241,0.544565218892834
CG15617,0.0352400113094099,1,1,1,1.49743984533108e-06,1,1,1,1,1,1,1,1,1,1,1
CG15625,0.000821833539724576,1,1,0.954542781309738,0.00332175655509018,1,0.53150566796548,0.985621593043563,1,1,1,1,1,0.844818988212266,1,1
CG15628,6.59613690101638e-12,1,1,0.0805211319304662,0.182920654191332,1,1,1,1,1,0.46313088127491,1,1,1,1,1
CG15629,1.16309658241846e-09,0.702986936523694,1,0.240651185100618,0.656309715266691,1,0.541924005767736,1,1,1,0.864731057779127,1,1,0.85880938266775,1,0.789568617416379
CG15630,1.67585985967235e-12,1,1,0.0385123759836304,0.0131867514359629,1,1,0.805011256109908,0.745450517027605,1,0.185487785991247,0.939722521196701,1,0.940598343416392,1,1
CG15631,1.49455579331713e-14,1,1,0.0971168243262576,1.06528749959307e-12,1,0.396725789165048,0.396725789165048,1,1,0.305900145362629,0.760082887280803,1,0.644390878244048,0.623486710834749,1
CG15642,1.70974750612018e-31,1,1,7.31996788854256e-30,1,1,1,0.696591493866595,1,1,0.0151595190149866,0.840498394323756,1,1,0.967169941687807,0.92126440476022
CG15649,0.0388896622507606,0.948603071617662,1,0.103054773294917,1,1,1,0.986776932545521,1,1,0.14661800248678,0.936548983168855,1,1,1,0.915997477730935
CG15650,0.00217715623739872,1,1,0.256436576460988,1,1,1,1,1,1,1,1,1,1,1,1
CG15651,1,1,1,1,0.0399138688088016,1,1,1,1,0.912818151440335,0.40502890164434,1,1,1,1,1
CG15653,3.15662251394273e-16,1,1,5.25260586194854e-05,0.545903242624771,1,0.950483830566753,1,1,1,0.681838110466884,0.956177741683568,1,1,1,1
CG15657,1.34232482567782e-26,1,1,1,4.9720810840813e-26,1,1,1,1,1,1,1,1,1,1,1
CG15661,7.89135539546421e-09,1,1,0.128693721420844,1.11350516536094e-08,1,1,1,1,0.927633379458912,1,1,1,1,1,0.501602304783454
CG15666,0.197288347645075,1,1,1,0.0136486890887281,1,1,1,0.617882037928783,0.396046570552048,0.456602646738013,1,0.810399031252491,0.988083939357061,0.810339956737381,1
CG15673,5.54685446212301e-06,1,1,6.06075416920123e-07,0.0306151332245164,0.97134816693907,0.511595803468902,0.985033548918997,1,1,0.899838666072169,0.414965183348873,1,0.76338107449613,0.886890784361326,0.239192535030758
CG15674,4.75587045237889e-14,0.709749872482139,1,0.343541337012503,0.0240258825207149,0.853059160548327,0.372356821526346,0.874274038917233,1,1,0.767189551938506,0.393959292218483,1,1,1,1
CG15676,0.109945532343071,1,0.164574978500796,0.885146984752521,0.140291648768212,0.614662242345827,0.969066065842708,0.468530467806105,1,0.575646646617018,0.931983574978836,0.87491119804763,0.870199739878346,1,0.863406995864105,1
CG15701,5.02737381722171e-26,1,1,7.58933293697353e-19,1,1,0.564816123108222,0.62011342108981,1,1,0.0169285243125371,0.88103750788185,1,0.280708648769817,0.282188605321476,0.295809923065987
CG15705,1.84283196316631e-11,1,1,1,2.31160974139241e-10,1,1,1,1,1,1,0.759123562769183,1,1,1,0.96889784741613
CG15706,4.60570759265125e-23,1,1,4.81478374351901e-05,2.33133823977001e-09,1,1,1,1,0.251632091897887,0.236088249043842,0.987915875523704,0.802314903161614,1,1,1
CG15708,1,1,0.926182412676322,3.63196947591625e-19,0.00198964067191538,1,1,1,1,0.68630797871967,9.06507490040596e-15,1,1,1,0.964413406108506,1
CG15710,3.26468314269284e-07,0.500226956194201,0.500226956194201,0.500226956194201,0.000865996397440677,0.83326575318099,0.83326575318099,0.00238845195291007,0.557545487114781,0.694266546116488,0.176857350008719,0.050949964839664,0.671426039193772,0.890340732320944,0.0391432262247082,0.134908129269314
CG15711,1.79968115095487e-26,1,1,1,9.62443823646441e-26,1,1,1,1,1,1,1,1,1,1,1
CG15712,6.00624618328321e-13,1,1,1,1,1,1,1,1,1,0.329957277873408,1,1,0.705384051791137,0.705384051791137,0.950483830566753
CG15717,1.67128759637797e-32,1,1,2.0546969983157e-06,0.443994140432564,1,1,1,1,1,0.062664318568298,1,1,1,1,1
CG15719,1.09481819430714e-25,1,1,1,2.37607168835369e-23,1,1,1,0.934041633077968,0.843973103939232,1,1,1,0.998058903956586,1,1
CG1572,7.17236462347908e-26,1,0.660007014079576,4.32653130639652e-05,4.8907630877493e-08,1,1,1,0.787356597780311,1,0.0700240898169163,1,1,1,0.881250790871503,0.754291289589412
CG15721,0.107278295199383,1,1,1,0.109728165673306,1,1,1,1,1,0.920040414361603,1,1,0.950483830566753,1,1
CG15725,1.42884386448916e-09,1,1,0.00707945155988334,0.907746321496291,1,1,0.921537293329205,0.965000547084146,1,0.604989410581246,0.870930271857366,1,0.262009778523947,1,1
CG15728,2.88527362774774e-11,0.083301880485636,1,8.49011651972753e-10,3.27410304793652e-09,0.367519188686897,0.511797661919264,1,0.375040638086373,1,1.71741218736823e-06,0.756856137163181,0.756588700886249,0.814796861282485,1,0.997632378110925
CG15731,0.142706902840042,0.454577356225153,1,1,1,0.540922131042132,1,0.888227451096683,0.8266228483182,0.969986853647173,0.906380937119899,1,0.602965662853632,1,1,1
CG15734,9.9599210506732e-08,0.0887209558801149,0.0887209558801149,0.0887209558801149,1.37751946833457e-07,0.379099415079827,0.379099415079827,0.379099415079827,0.248821771144438,0.405381607600744,0.130136679233183,0.746855092788047,0.631021122240242,0.604355056432872,0.623221473547405,0.859698063882547
CG15735,5.89943556254222e-27,1,1,0.75143115700093,0.015792802547695,1,1,1,1,0.955078579472189,0.913138698636499,1,0.916324226694433,1,1,0.828771668434285
CG15739,2.32396038849448e-19,1,1,1.02711743700791e-05,0.280254098833575,1,1,1,1,1,0.890452792051777,1,0.884701894052888,1,1,1
CG15740,0.000588204646319844,1,1,1,0.882660367512106,1,1,1,1,1,1,1,1,0.991466194453364,1,1
CG15742,0.0256426295669746,1,1,4.41998518634336e-12,1,1,1,0.381729994350424,1,1,2.31101120231676e-09,0.802414733267927,1,1,0.636439687890174,0.901333635900744
CG15747,2.88713321505709e-12,1,1,0.140569557409349,1,1,1,0.977896543594322,1,1,1,0.953928242349296,1,1,1,0.855335724973136
CG1575,7.96217514725283e-19,1,1,0.12618970190314,2.5746819493254e-05,1,1,0.788981798384489,1,1,0.971466077424603,1,1,0.88530228674037,1,1
CG15754,1,1,1,2.66522937552365e-10,1,1,1,0.430220176381812,1,1,6.10715717183543e-07,0.774329787268545,1,1,0.996331871331685,1
CG15756,1.50257124610103e-06,1,0.688455012001388,0.688455012001388,2.43356879557464e-06,1,1,0.253386874860094,1,0.707303120106306,0.732725732110191,1,1,1,0.298469254394542,0.928087201563816
CG15760,1,1,1,1,1,1,1,1,1,1,0.522750705290811,1,1,1,1,1
CG15764,4.82709480737079e-26,1,1,1,2.06839843247958e-24,1,1,1,1,1,1,1,1,1,1,1
CG15765,1.40835343421816e-07,1,1,0.426865124752606,0.901717011243629,1,1,1,1,1,0.0342787082637907,1,1,1,1,1
CG15766,0.0342987693437853,1,1,1,3.27780391240269e-05,1,1,1,0.249767081434087,0.361565538565214,0.0920735681634949,1,0.60010863733178,0.805390668479367,0.861596361571458,1
CG15767,1,1,1,0.00804014214066454,1,1,0.950483830566753,1,1,1,0.200620978759487,0.734835978756106,1,0.673181422851973,1,0.556841457535679
CG15771,2.61186234884135e-23,1,1,0.0183869985484477,0.159025054466243,1,1,1,0.469882799443999,0.478925873094464,1,1,0.995757063108777,1,0.615011539421158,0.433594264887677
CG15772,1.09314862812079e-24,1,1,1.15558222372087e-22,1,1,1,1,1,1,0.542934163687064,1,1,0.80476748532937,1,1
CG15773,1,1,1,1,0.190507809531443,1,1,0.811062744955865,1,1,1,1,1,1,1,1
CG15784,7.8952641134877e-10,1,1,2.10179379859538e-05,0.0374412316381695,1,1,1,1,1,0.00224450364881923,1,1,1,1,1
CG15803,1,1,1,0.206028733308702,0.000427597549114724,1,1,1,1,0.485866010894734,1,1,1,1,0.234215606007028,0.319785207174057
CG15812,7.20918550180219e-13,1,1,1,1,1,1,0.938710514436776,1,1,1,1,1,1,1,1
CG15818,2.69482313046234e-25,1,1,0.06080277890706,0.603605065786219,1,1,1,0.498428937979775,0.584191056205379,0.0258472437871111,1,1,1,1,0.834310564237386
CG15820,8.95021790800437e-23,1,1,1,7.34780747829764e-08,1,0.744152217859771,1,0.946398361911979,1,0.259539120154047,0.805390668479367,1,1,0.892588136819481,1
CG15822,5.06046379621253e-06,1,1,0.000324896633767755,6.6055612056359e-05,1,1,1,1,1,0.11783979020262,0.992365179795555,1,1,1,1
CG15829,0.0018938638729444,1,1,1,0.164834006787441,1,1,1,1,1,0.157801032447725,1,1,1,0.944534194468486,0.378089053596486
CG15861,0.000848500884102441,1,1,0.911140309484405,0.955078579472189,0.98281180549749,1,1,1,1,0.187449978681972,1,1,0.998898482722208,0.952058048276512,1
CG15865,1,1,1,8.31954313498779e-14,1.24735266058342e-06,1,1,1,1,1,1.41627291610201e-08,0.969013551975288,1,1,0.981052508016107,0.885053316128922
CG15873,0.0272448014481835,1,0.957271870330425,0.969338488015106,0.0520695500091313,0.928905905051835,0.920038322857404,1,1,1,1,0.0907692954130489,1,1,1,0.545280515326087
