Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
Cpsf73,NA,NA,NA,RabX4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPT2,NA,NA,NA,RabX5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cpx,NA,NA,NA,Rac1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR10032,NA,NA,NA,RacGAP84C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR43100,NA,NA,NA,Rack1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR43176,NA,NA,NA,rad50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR46300,NA,NA,NA,Rae1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crag,NA,NA,NA,Raf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRAT,NA,NA,NA,Ran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CREG,NA,NA,NA,RanBPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRIF,NA,NA,NA,RanGAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crm,NA,NA,NA,Ras64B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMP,NA,NA,NA,Rat1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crn,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crol,NA,NA,NA,Rb97D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crp,NA,NA,NA,Rbf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crq,NA,NA,NA,Rbm13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crtp,NA,NA,NA,Rbp9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Csas,NA,NA,NA,Rbpn-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Csat,NA,NA,NA,Rca1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Csl4,NA,NA,NA,Rcc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN1a,NA,NA,NA,Rcd-1r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN3,NA,NA,NA,Rcd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN4,NA,NA,NA,Rcd6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN5,NA,NA,NA,Rcd7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN7,NA,NA,NA,Rcp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSN8,NA,NA,NA,rdgA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CstF-50,NA,NA,NA,rdgB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CstF-64,NA,NA,NA,rdgBbeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
csw,NA,NA,NA,reb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CtBP,NA,NA,NA,Ref1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctf4,NA,NA,NA,REG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr1A,NA,NA,NA,Reg-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr1C,NA,NA,NA,Reg-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctrip,NA,NA,NA,regucalcin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CtsB1,NA,NA,NA,rempA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cuff,NA,NA,NA,repo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cul1,NA,NA,NA,rept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cul2,NA,NA,NA,REPTOR-BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cul3,NA,NA,NA,resilin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cul5,NA,NA,NA,retm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cup,NA,NA,NA,retn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cutlet,NA,NA,NA,rev7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cv,NA,NA,NA,RfC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cv-2,NA,NA,NA,RfC38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cwc25,NA,NA,NA,RfC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyc,NA,NA,NA,RFeSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycB,NA,NA,NA,rgr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycE,NA,NA,NA,Rh50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycG,NA,NA,NA,rha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycJ,NA,NA,NA,rho-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycK,NA,NA,NA,rho-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CycY,NA,NA,NA,Rho1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYLD,NA,NA,NA,RhoGAP100F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp1,NA,NA,NA,RhoGDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp12b2,NA,NA,NA,RhoU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp12c1,NA,NA,NA,rib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp28a5,NA,NA,NA,Ric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp28d1,NA,NA,NA,Rif1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp301a1,NA,NA,NA,rig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp303a1,NA,NA,NA,RIOK2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp305a1,NA,NA,NA,Ripalpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp309a2,NA,NA,NA,rk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp310a1,NA,NA,NA,Rlip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp311a1,NA,NA,NA,RluA-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp316a1,NA,NA,NA,RluA-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyp33,NA,NA,NA,rn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp49a1,NA,NA,NA,RnrL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4aa1,NA,NA,NA,RnrS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4ac1,NA,NA,NA,robl22E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4ad1,NA,NA,NA,robl62A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4ae1,NA,NA,NA,robo1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4d1,NA,NA,NA,robo2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4d14,NA,NA,NA,robo3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4d2,NA,NA,NA,Roc1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4d20,NA,NA,NA,rod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4d8,NA,NA,NA,Roe1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4e1,NA,NA,NA,roh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4g15,NA,NA,NA,Rop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp4p3,NA,NA,NA,Ror,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a13,NA,NA,NA,rost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a14,NA,NA,NA,RPA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a17,NA,NA,NA,Rpb11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a18,NA,NA,NA,Rpb12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a2,NA,NA,NA,Rpb5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a22,NA,NA,NA,Rph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6a9,NA,NA,NA,Rpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6g2,NA,NA,NA,RpI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6t3,NA,NA,NA,RpI135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6u1,NA,NA,NA,RpII18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp6w1,NA,NA,NA,RpIII128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp9c1,NA,NA,NA,rpk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyp9h1,NA,NA,NA,RpL11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypl,NA,NA,NA,RpL12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CysRS,NA,NA,NA,RpL13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cysu,NA,NA,NA,RpL22-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-b5,NA,NA,NA,RpL23A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-b5-r,NA,NA,NA,RpL30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-c-d,NA,NA,NA,RpL31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-c-p,NA,NA,NA,RpL37A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-c1,NA,NA,NA,RpL39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyt-c1L,NA,NA,NA,RpL4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,NA,NA,NA,RpL7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D12,NA,NA,NA,RpL7A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D19A,NA,NA,NA,RpL9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D19B,NA,NA,NA,RpLP0-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D2hgdh,NA,NA,NA,Rpn1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dad,NA,NA,NA,Rpn11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dah,NA,NA,NA,Rpn2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak1,NA,NA,NA,Rpn5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damm,NA,NA,NA,Rpn6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dan,NA,NA,NA,Rpn8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dany,NA,NA,NA,Rpp30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dao,NA,NA,NA,rpr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dap,NA,NA,NA,RpS13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dare,NA,NA,NA,RpS19a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark,NA,NA,NA,RpS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dat,NA,NA,NA,RpS23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
daw,NA,NA,NA,RpS24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daxx,NA,NA,NA,RpS26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbe,NA,NA,NA,RpS27A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dbi,NA,NA,NA,RpS28-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dbp21E2,NA,NA,NA,RpS6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dbp45A,NA,NA,NA,RpS7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dbr,NA,NA,NA,Rpt6R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dco,NA,NA,NA,Rrp4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dcp-1,NA,NA,NA,Rrp45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCP1,NA,NA,NA,Rs1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dcr-2,NA,NA,NA,Rsf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTN2-p50,NA,NA,NA,rst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTN3-p24,NA,NA,NA,rswl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTN4-p62,NA,NA,NA,Rtc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTN5-p25,NA,NA,NA,Rtnl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCTN6-p27,NA,NA,NA,rtp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ddc,NA,NA,NA,rtv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ddr,NA,NA,NA,RyR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deaf1,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Debcl,NA,NA,NA,S-Lap4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decay,NA,NA,NA,S-Lap5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Def,NA,NA,NA,S-Lap8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dek,NA,NA,NA,S2P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
del,NA,NA,NA,S6kII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deltaCOP,NA,NA,NA,sa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den1,NA,NA,NA,SA-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DENR,NA,NA,NA,sala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Der-1,NA,NA,NA,salm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Der-2,NA,NA,NA,salr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desat2,NA,NA,NA,Sam-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Det,NA,NA,NA,Samuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Df31,NA,NA,NA,san,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dfd,NA,NA,NA,sano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dg,NA,NA,NA,Sap-r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dgk,NA,NA,NA,Sara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dgkepsilon,NA,NA,NA,Sardh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dgp-1,NA,NA,NA,sas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrn,NA,NA,NA,Sas-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgt1,NA,NA,NA,sbr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgt3,NA,NA,NA,sc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgt4,NA,NA,NA,Sc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgt5,NA,NA,NA,sca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgt6,NA,NA,NA,scb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dh31,NA,NA,NA,SCCRO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dh31-R,NA,NA,NA,SCCRO4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dh44-R1,NA,NA,NA,sced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dh44-R2,NA,NA,NA,scf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhap-at,NA,NA,NA,schuy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhc36C,NA,NA,NA,Sclp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhc62B,NA,NA,NA,SCOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhc64C,NA,NA,NA,Scox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhc93AB,NA,NA,NA,Scp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhc98D,NA,NA,NA,ScpX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhfr,NA,NA,NA,Scr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhit,NA,NA,NA,scramb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DhpD,NA,NA,NA,Scsalpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhx15,NA,NA,NA,Sdc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diap2,NA,NA,NA,SdhA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dic4,NA,NA,NA,SdhB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dic61B,NA,NA,NA,Sec23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
didum,NA,NA,NA,Seipin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dif,NA,NA,NA,SelD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dila,NA,NA,NA,Sema2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dim1,NA,NA,NA,Send2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP-alpha,NA,NA,NA,sens-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP-eta,NA,NA,NA,Ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP-iota,NA,NA,NA,Ser12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP-theta,NA,NA,NA,Ser8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP1,NA,NA,NA,SERCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIP2,NA,NA,NA,sesB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
disp,NA,NA,NA,Set2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dj,NA,NA,NA,Sfp53D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dj-1beta,NA,NA,NA,Sgf11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dl,NA,NA,NA,shams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlc90F,NA,NA,NA,Sherpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlg5,NA,NA,NA,shg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlip1,NA,NA,NA,shrb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlip2,NA,NA,NA,shu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlip3,NA,NA,NA,shv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dlt,NA,NA,NA,sicily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMAP1,NA,NA,NA,Sid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dmpd,NA,NA,NA,Sidpn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dmrt11E,NA,NA,NA,sif,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dmrt93B,NA,NA,NA,sigmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dmrt99B,NA,NA,NA,Sin1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmtn,NA,NA,NA,sing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNA-ligI,NA,NA,NA,sinu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dnah3,NA,NA,NA,sip3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DnaJ-1,NA,NA,NA,Sirt4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-alpha180,NA,NA,NA,Sirup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-alpha60,NA,NA,NA,Six4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-alpha73,NA,NA,NA,SK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-epsilon58,NA,NA,NA,Sk1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-eta,NA,NA,NA,Skp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNApol-gamma35,NA,NA,NA,SkpF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNaseII,NA,NA,NA,slam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dnc,NA,NA,NA,slbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dnk,NA,NA,NA,Slbp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dnr1,NA,NA,NA,Sld5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dnt,NA,NA,NA,sli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dnz1,NA,NA,NA,sll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doa,NA,NA,NA,slmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dob,NA,NA,NA,SLO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dock,NA,NA,NA,slou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dok,NA,NA,NA,slow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dom,NA,NA,NA,slp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dor,NA,NA,NA,slv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dos,NA,NA,NA,SmB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dot,NA,NA,NA,SmD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dp,NA,NA,NA,Smg5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dp1,NA,NA,NA,smid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpck,NA,NA,NA,Smvt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpit47,NA,NA,NA,Smyd4-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dpp,NA,NA,NA,Smyd4-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dpr16,NA,NA,NA,Smyd5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dpr19,NA,NA,NA,SmydA-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dpr3,NA,NA,NA,SmydA-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DptB,NA,NA,NA,SmydA-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy-30L1,NA,NA,NA,SmydA-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy-30L2,NA,NA,NA,SmydA-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drat,NA,NA,NA,SmydA-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drd,NA,NA,NA,sna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dre4,NA,NA,NA,SNF4Agamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredd,NA,NA,NA,sNPF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dref,NA,NA,NA,SNRPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drep1,NA,NA,NA,sns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drep2,NA,NA,NA,Snx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drice,NA,NA,NA,Snx6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drip,NA,NA,NA,sob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drk,NA,NA,NA,Sobp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drm,NA,NA,NA,Socs36E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drongo,NA,NA,NA,Sod2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drosha,NA,NA,NA,Sod3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drp1,NA,NA,NA,sosie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
drpr,NA,NA,NA,sowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drs,NA,NA,NA,Sox100B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drsl1,NA,NA,NA,Sox14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drsl5,NA,NA,NA,SoxN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drsl6,NA,NA,NA,SoYb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsb,NA,NA,NA,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dscam3,NA,NA,NA,Sp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsd,NA,NA,NA,SP2637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dsf,NA,NA,NA,SP555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dsk,NA,NA,NA,Sp7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dtn,NA,NA,NA,spab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUBAI,NA,NA,NA,spag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
