gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG42525,2.50889812499193e-09,1,1,1,1,1,1,1,1,1,0.372959758003065,1,1,0.710338479295824,0.710338479295824,0.935043397946961
CG42534,0.0442379389400903,0.492120928973867,0.976103705951146,1,0.585788160393783,0.77808542995768,0.797661864915543,1,0.214599514285258,0.500314044654419,0.854936125609793,0.972702057179986,0.517250061481704,0.554778227809483,0.864393394938923,0.621198432651178
CG42537,0.00046767071270554,1,1,1,0.761679642323657,1,1,1,0.96274805399084,1,0.96274805399084,1,1,1,0.567015192227671,0.588226934340129
CG42540,1,1,1,0.000118263485551043,0.285015881501565,1,1,1,0.949461032409437,1,0.632777068667272,1,0.641862063506636,1,1,0.889194439138801
CG42541,0.539347668399816,1,1,1,1,1,1,1,1,1,0.525732540239944,1,1,1,0.872480982134026,1
CG42544,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG42553,1,1,1,1,1,0.955285346521237,0.372959758003065,0.883857880632475,1,1,1,0.372959758003065,1,0.767775205653919,1,0.710338479295824
CG42557,0.655874266734911,1,1,0.997870824559713,1,1,0.919504701739902,1,1,1,1,1,1,1,0.878723306238418,1
CG42558,0.627365398931186,1,1,1,1,1,1,0.852965224951626,1,1,0.81262953018465,1,1,1,0.7702091558073,1
CG42559,0.00409044602826046,1,1,1,0.0292554155971646,1,0.994367228042968,1,1,0.614171726732828,1,1,1,1,1,0.985825281235697
CG42562,0.440344427335021,1,1,0.880966229441741,1,0.891089034325204,1,0.718129268970504,1,1,1,0.429516537831934,1,1,1,0.76148588915529
CG42564,0.922426352010571,1,1,1,1,0.845320429166905,1,1,1,1,1,0.984633171144527,1,1,1,0.976871874417471
CG42565,0.378586172260562,1,1,1,1,1,1,1,1,1,0.782005300430292,1,1,1,1,1
CG42566,0.709054489488131,1,1,0.00119028446386731,1,1,1,1,1,1,0.0933040666742585,1,1,1,0.612066003531655,0.898430480949175
CG42568,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG42585,0.000269688191361827,1,1,1,0.00749413039315313,1,1,1,1,0.446964307613957,1,1,0.732856395443991,1,1,0.932543071462056
CG4259,4.35806008490429e-14,1,0.542800774666314,0.000936887476578164,0.000132289674199238,0.935043397946961,0.410589071553443,0.713193036564687,1,0.656868964942576,0.000338493606333833,0.690293638477677,0.900009425279522,0.244575743609796,0.209939852254507,0.159688183593241
CG42592,0.0193852573120228,1,1,1,0.397962346145261,1,1,1,1,1,0.935043397946961,1,1,1,0.864300825786193,1
CG42597,0.00197120946734693,1,1,1,0.868566485851895,1,1,1,0.978444431239664,1,1,1,1,1,1,1
CG42613,1,1,1,0.232021640592873,1,1,1,0.967676038775029,1,1,0.982031831219651,1,1,0.734859847948958,0.591600131159127,0.543083567223848
CG42615,0.00853204363253743,1,1,1,0.968115421515213,1,1,1,1,1,1,1,0.963274291591279,1,1,1
CG42634,0.0101460418891889,1,1,1,0.131441377193838,1,1,1,1,0.813010321367453,1,1,0.979270661955421,1,1,1
CG42650,0.000603060835043717,1,1,1,0.0022667533776179,1,1,1,1,0.351638228638631,1,1,0.761062056505827,1,1,1
CG42658,6.19859999331092e-07,1,1,1,0.000129688050200144,1,1,1,0.772538890242027,0.00843154774549636,0.981559214434197,1,0.967170991610086,0.831827966472044,1,0.993768291363447
CG4266,0.000792187886343557,0.979334374149878,0.912864249199128,9.12690237540437e-06,1,1,1,0.982113537102595,1,1,0.31571638500892,1,1,1,1,1
CG42663,0.416887093694933,1,0.569268308481092,0.000247142777930797,0.133259044241782,0.521428980434863,1,1,1,0.904858936935332,0.550219299253389,1,0.862972638134072,1,1,1
CG4267,0.107594216742881,1,1,1,1,1,0.887498914690499,0.926364417144753,1,1,1,0.449607412687478,1,0.99869516027796,1,0.719039964258398
CG42672,4.26271983772578e-08,1,0.705147044090226,0.157402428821813,0.710338479295824,1,1,1,0.935043397946961,1,0.78536552993658,1,1,1,1,1
CG42674,1,1,1,0.280016765607569,1,1,1,1,0.216510193118149,1,0.978394061684217,1,0.502512148783315,0.709887728718283,1,0.925568713265861
CG42675,0.110291811148381,0.452439416497517,0.580289471828114,1,0.133830741496747,0.182186759688169,1,1,0.729607550947686,0.803291171124036,1,0.836489777406547,0.480109063577143,1,1,1
CG42680,0.424724191838139,1,1,0.833048060994082,0.833048060994082,0.97834376929775,0.956806678313441,1,0.98502862541018,1,0.00736352857038754,1,1,0.771059534540644,1,1
