gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
AANATL2,1.41400633950349,1.99970694260737,1.99970694260736,1.99970694260736,1.99970694260736,2.82801267900697,2.82801267900697,2.82801267900697,2.82801267900697,2.82801267900697,2.82801267900697,3.99941388521473,3.99941388521473,3.99941388521473,3.99941388521473,5.65602535801394
Aatf,0.200791974292078,0.283962733259527,0.283962733259527,0.283962733259527,0.283962733259527,0.401583948584156,0.401583948584156,0.401583948584156,0.401583948584156,0.401583948584156,0.401583948584156,0.567925466519053,0.567925466519053,0.567925466519053,0.567925466519053,0.803167897168312
ab,2.23204400876319,3.15658690900651,3.15658690900651,3.15658690900651,3.15658690900651,4.46408801752636,4.46408801752637,4.46408801752636,4.46408801752637,4.46408801752636,4.46408801752637,6.31317381801301,6.31317381801301,6.31317381801301,6.31317381801301,8.92817603505273
abd-A,2.31198098342696,3.2696348627111,3.26963486271109,3.26963486271109,3.26963486271109,4.62396196685392,4.62396196685392,4.62396196685392,4.62396196685392,4.62396196685392,4.62396196685392,6.53926972542218,6.53926972542218,6.53926972542218,6.53926972542218,9.24792393370783
Abd-B,2.09779142922852,2.96672509024502,2.96672509024501,2.96672509024501,2.96672509024501,4.19558285845704,4.19558285845704,4.19558285845704,4.19558285845704,4.19558285845704,4.19558285845704,5.93345018049003,5.93345018049003,5.93345018049003,5.93345018049002,8.39116571691408
abo,1.26747015876488,1.79247348842847,1.79247348842847,1.79247348842847,1.79247348842847,2.53494031752975,2.53494031752975,2.53494031752975,2.53494031752975,2.53494031752975,2.53494031752975,3.58494697685694,3.58494697685694,3.58494697685694,3.58494697685694,5.06988063505951
Ac3,2.19188513293355,3.09979368215858,3.09979368215857,3.09979368215857,3.09979368215857,4.38377026586709,4.38377026586709,4.38377026586709,4.38377026586709,4.38377026586709,4.38377026586709,6.19958736431714,6.19958736431714,6.19958736431715,6.19958736431714,8.76754053173418
Ac76E,1.34229320135,1.89828925003037,1.89828925003037,1.89828925003037,1.89828925003037,2.6845864027,2.6845864027,2.6845864027,2.6845864027,2.6845864027,2.6845864027,3.79657850006073,3.79657850006073,3.79657850006074,3.79657850006073,5.36917280539999
Ac78C,1.80047227464596,2.54625230948105,2.54625230948105,2.54625230948105,2.54625230948105,3.60094454929191,3.60094454929191,3.60094454929191,3.60094454929191,3.60094454929191,3.60094454929191,5.09250461896209,5.09250461896209,5.09250461896209,5.09250461896209,7.20188909858382
Acam,2.39324637395084,3.38456148014151,3.3845614801415,3.3845614801415,3.3845614801415,4.78649274790167,4.78649274790167,4.78649274790167,4.78649274790167,4.78649274790167,4.78649274790167,6.769122960283,6.769122960283,6.769122960283,6.769122960283,9.57298549580334
