gene_name,Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
adp,5.80001810375768e-09,1,1,0.761652859967751,0.737282406159103,0.0101318062767529,1,1,1,1,1,1,1,1,0.37924554722428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPS,0.179735017722348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AdSL,1.03807131659642e-32,1,1,0.132394008240503,0.844544216107938,1,1,1,1,1,1,1,1,1,0.000446555709191075,1,1,1,1,1,1,1,1,1,1,0.873521472496532,1,1,1,1,1,1
Ady43A,8.50081379427735e-20,1,1,0.00111802808039739,1,1,1,1,1,1,1,1,1,1,0.0173192009541566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aft,1,1,1,1,1,0.805631258186578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.950903505298687,1,1,1,1,1,1,1,1
Ag5r2,0.010668651813486,1,1,0.0533796770791348,0.828147658854454,0.996282665273621,1,0.120012673440956,1,1,1,1,1,1,0.062174945017207,1,1,1,0.515039325773524,1,1,0.583791974680838,1,1,1,1,1,1,1,1,1,1
AGBE,5.19399023795443e-33,1,1,0.000198051266845042,2.21768039812787e-08,0.0414920954735951,1,1,1,0.907359605442984,1,1,1,1,1,1,1,1,1,1,1,1,1,0.830926667081767,1,1,0.887491341026694,1,1,1,1,1
ago,3.27814797047654e-19,1,1,1,1,0.000679194246224195,1,1,1,1,1,1,1,1,0.00159380351922024,1,1,1,1,1,1,1,1,0.529665005896474,1,0.665429312935594,1,1,0.750732163502104,1,1,0.740659852798543
agt,7.55239995463895e-05,1,1,0.000822460980782598,1,0.000594802701413423,1,1,1,1,1,1,1,1,0.11023069680202,0.453572372269455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ahcy,2.02297053867925e-38,1,1,1,5.64890214883416e-05,0.000948459416158751,1,1,1,1,1,0.326637613382277,1,1,0.00430444651888709,0.428663632919474,1,1,1,1,1,1,1,1,1,4.03269569358807e-06,1,1,1,1,1,1
AhcyL1,0.00835293382970152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.969040704191528,1,1,1,1,1,1,1,1,1
AhcyL2,1.27034801993026e-14,1,1,1.57966074857861e-05,2.67827816507437e-09,0.673020506216354,1,1,1,1,1,0.814038373948007,1,1,0.25007747117172,1,1,1,1,1,1,0.772330695644037,1,1,1,1,1,0.914361852576195,1,1,1,1
AIMP1,7.12120599052893e-36,1,1,1,0.0249409609979548,1,1,1,1,1,1,1,1,1,0.000144280770630973,1,1,1,1,1,1,1,1,1,1,0.0201706276711093,1,1,1,1,1,1
AIMP3,0.0296989765754781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.554519164517188,1,1,1,1,1,0.933746753716096,1
Ak6,0.12536887393008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Akap200,1.84801067012737e-25,1,1,1,0.23699546306744,0.0010429901726633,1,1,1,1,1,1,1,1,0.000668511840200817,1,1,1,1,1,1,1,1,1,1,0.721301962110153,1,1,1,1,1,1
Akh,1,1,1,1,1,0.110660909856513,1,1,1,1,1,1,1,1,1,0.801648976036328,1,1,1,1,1,1,0.481068562044569,1,1,1,1,0.619127863893601,0.793369869580958,1,1,0.568515812908417
