Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Acp63F,Gr36c,Gr22e,Arp5,Ama,alpha-Est5,NA,NA,NA,NA,NA,CG13154,NA,unc-5,alpha-Spec,CG12321,NA,NA,NA,NA,NA,NA,Vps2,NA,Ih,Catsup,NA,NA,NA,NA,ox,NA
Acp65Aa,intr,Gr36c,Arpc1,Amy-d,alpha-Est6,NA,NA,NA,NA,NA,CG13157,NA,YT521-B,alpha4GT1,CG12426,NA,NA,NA,NA,NA,NA,YT521-B,NA,Or63a,Ccs,NA,NA,NA,NA,PHGPx,NA
Acp76A,Ir52d,Gr64b,Arpc5,Amy-p,alpha-Man-Ia,NA,NA,NA,NA,NA,CG13334,NA,NA,alphaSnap,CG12439,NA,NA,NA,NA,NA,NA,NA,NA,otu,CD98hc,NA,NA,NA,NA,Pof,NA
Acph-1,mldr,intr,Arv1,ana2,alpha-Spec,NA,NA,NA,NA,NA,CG13693,NA,NA,alphaTub84D,CG12470,NA,NA,NA,NA,NA,NA,NA,NA,PHGPx,CG10075,NA,NA,NA,NA,Rpb5,NA
Acsl,SP,Ir52d,Ask1,Ance,alpha4GT1,NA,NA,NA,NA,NA,CG13741,NA,NA,Amy-p,CG12479,NA,NA,NA,NA,NA,NA,NA,NA,Pof,CG10347,NA,NA,NA,NA,sgll,NA
Act42A,TwdlR,Nuf2,asrij,Ance-4,alphaSnap,NA,NA,NA,NA,NA,CG13905,NA,NA,AnxB9,CG12511,NA,NA,NA,NA,NA,NA,NA,NA,PPYR1,CG10424,NA,NA,NA,NA,Smyd5,NA
Actn3,TwdlW,sna,Atg3,AnxB9,alphaTub84D,NA,NA,NA,NA,NA,CG13924,NA,NA,Apc,CG12607,NA,NA,NA,NA,NA,NA,NA,NA,retn,CG10425,NA,NA,NA,NA,usp,NA
ACXE,NA,SP,Atg8b,Apoltp,Amy-d,NA,NA,NA,NA,NA,CG13972,NA,NA,Aprt,CG12746,NA,NA,NA,NA,NA,NA,NA,NA,Rpb5,CG10469,NA,NA,NA,NA,NA,NA
Acyp,NA,TwdlR,ATPCL,AQP,Amy-p,NA,NA,NA,NA,NA,CG14034,NA,NA,Archease,CG12902,NA,NA,NA,NA,NA,NA,NA,NA,Smyd4-3,CG10576,NA,NA,NA,NA,NA,NA
Adat1,NA,TwdlW,ATPsynF,aqrs,antr,NA,NA,NA,NA,NA,CG14052,NA,NA,Arp2,CG12914,NA,NA,NA,NA,NA,NA,NA,NA,swif,CG10623,NA,NA,NA,NA,NA,NA
ade2,NA,TwdlX,ATPsynG,armi,AnxB9,NA,NA,NA,NA,NA,CG14062,NA,NA,Arpc1,CG13171,NA,NA,NA,NA,NA,NA,NA,NA,Vha68-3,CG10761,NA,NA,NA,NA,NA,NA
ade3,NA,NA,awd,Arp53D,Apf,NA,NA,NA,NA,NA,CG14100,NA,NA,Arpc4,CG13658,NA,NA,NA,NA,NA,NA,NA,NA,NA,CG10802,NA,NA,NA,NA,NA,NA
ade5,NA,NA,babos,Arpc1,AQP,NA,NA,NA,NA,NA,CG14309,NA,NA,Arpc5,CG13693,NA,NA,NA,NA,NA,NA,NA,NA,NA,CG10803,NA,NA,NA,NA,NA,NA
