Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Acp53C14a,CG13500,CG14052,Aldh-III,AhcyL2,akirin,CG14300,CG13500,CG13437,CG13930,CG14069,bam,CG12236,CG10053,ago,awd,CG13217,CG14300,CG14069,CG14565,CG13008,CG12009,CG10494,CG10209,CG12182,alpha4GT2,CG14958,CG12992,CG12395,CG12118,CG10425,CG11151
Acp53C14b,CG13564,CG14069,Alh,AIMP1,al,CG14329,CG13564,CG13500,CG14007,CG14185,BBS1,CG12333,CG10195,agt,b,CG13296,CG14327,CG14246,CG14568,CG13287,CG12014,CG10803,CG10211,CG12391,alphaTub84D,CG15185,CG13082,CG12496,CG12123,CG10494,CG11586
Acp53C14c,CG13670,CG14185,alpha-Est1,Akap200,Alas,CG14339,CG13587,CG13587,CG14069,CG14300,bchs,CG12723,CG10337,Ahcy,babos,CG13500,CG14568,CG14262,CG14743,CG13500,CG12278,CG10903,CG10307,CG12395,aly,CG15212,CG13148,CG12535,CG12239,CG10731,CG12012
Acp53Ea,CG13716,CG14297,alpha-Est3,al,alc,CG14354,CG13670,CG13692,CG14246,CG14317,bcn92,CG12849,CG10405,AhcyL2,Bap55,CG13692,CG14645,CG14325,CG14752,CG13670,CG12333,CG10936,CG10362,CG12448,Amun,CG15239,CG13163,CG12539,CG12333,CG10803,CG12239
Acp63F,CG14007,CG14300,alpha-Est5,AlaRS,Aldh,CG14420,CG13692,CG13711,CG14262,CG14327,Bet5,CG13287,CG11327,AIMP1,BBS1,CG13744,CG15116,CG14327,CG14958,CG13771,CG12692,CG11127,CG10469,CG12464,Amy-d,CG15533,CG13168,CG12682,CG12496,CG10853,CG12309
Acp65Aa,CG14069,CG14317,alpha-Est7,AlaRS-m,Aldh-III,CG14488,CG13712,CG13926,CG14325,CG14752,beta-Spec,CG13500,CG11349,Akap200,bcn92,CG13926,CG15539,CG14416,CG15024,CG13877,CG12723,CG11178,CG10560,CG12470,Amy-p,CG15539,CG13192,CG12717,CG12540,CG10936,CG12333
Acp76A,CG14329,CG14565,alpha-Est8,Alas,Alg-2,CG14752,CG1387,CG14007,CG14598,CG15084,beta4GalNAcTA,CG13579,CG11470,AlaRS,bdg,CG14007,CG15564,CG14958,CG15116,CG14007,CG13359,CG11362,CG10565,CG12535,Ance-2,CG1690,CG13502,CG12729,CG1311,CG1109,CG12395
Acph-1,CG14488,CG14625,alpha-Est9,Aldh,ALiX,CG14905,CG13924,CG14052,CG14960,CG15116,betaTub56D,CG13670,CG11504,AlaRS-m,bdl,CG14052,CG16771,CG14960,CG15185,CG14069,CG13365,CG1139,CG10761,CG12538,AnxB9,CG17544,CG13516,CG12782,CG13155,CG11095,CG12496
Acsl,CG14565,CG14752,alpha4GT1,Alp1,alph,CG15020,CG14007,CG14069,CG15116,CG15252,bnk,CG13771,CG12299,Alas,beat-Ia,CG14069,CG16782,CG15116,CG15252,CG14300,CG13500,CG11555,CG10911,CG12637,ApepP,CG17599,CG13587,CG12783,CG1316,CG11444,CG12576
Act42A,CG14598,CG14787,alphaSnap,alpha-Est1,alpha-Est3,CG15084,CG14034,CG14185,CG15336,CG15330,cal1,CG13876,CG12309,Aldh-III,Bem46,CG14185,CG16813,CG15212,CG15712,CG14329,CG13712,CG11857,CG11149,CG1265,AQP,CG17959,CG13893,CG12998,CG13171,CG11586,CG12682
